Country,Location,Title,Company,Url,English,EducationLevel,YearsExperience,CompanyScore,SalaryUSD,CountryScore
Chile,"Santiago, Santiago Metropolitan Region, Chile",Desarrollador Python,Kabeli,https://cl.linkedin.com/jobs/view/desarrollador-python-at-kabeli-3324711545?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=UmsgRVs2UlbW8HBPj6nhBg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,1,3,7,5.45989362,2804,34.0
Chile,"Las Condes, Santiago Metropolitan Region, Chile",Digital Data Scientist - Las Condes,United Latino Students Association,https://cl.linkedin.com/jobs/view/digital-data-scientist-las-condes-at-united-latino-students-association-3200957864?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=HMQjRajszTXpnuq05X2Jgg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,0,4,8,4.787982528,2682,34.0
Chile,"Las Condes, Santiago Metropolitan Region, Chile",Digital Data Scientist - Las Condes,United Latino Students Association,https://cl.linkedin.com/jobs/view/digital-data-scientist-las-condes-at-united-latino-students-association-3198026044?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=netHCM2epzTw2LB8YM%2FViQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,0,4,9,2.705372097,2865,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Analista Datascience,MITS Group,https://cl.linkedin.com/jobs/view/analista-datascience-at-mits-group-3308504767?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=0hVOp6EU06mHy5TzcbuMag%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,1,5,9,4.066990977,3779,34.0
Chile,"Santiago Metropolitan Region, Chile",Senior Data Scientist,BCG GAMMA,https://cl.linkedin.com/jobs/view/senior-data-scientist-at-bcg-gamma-3162081564?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=CqWHOSz6UZBweF%2FI937jXA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,0,3,8,7.333315219,2378,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Senior Data Scientist,Xe.com,https://cl.linkedin.com/jobs/view/senior-data-scientist-at-xe-com-3280609542?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=xpaDuW0F6fETD2eIyUM70g%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,1,2,5,5.855999151,2134,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist Full time,BICE VIDA,https://cl.linkedin.com/jobs/view/data-scientist-full-time-at-bice-vida-3280000315?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=mkmueirvY%2BeJUU%2Fl1iWpOg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,0,2,7,5.079584133,1890,34.0
Chile,"Rancagua, O'Higgins Region, Chile",Data Scientist,Agrosuper,https://cl.linkedin.com/jobs/view/data-scientist-at-agrosuper-3324715110?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=xbhBZ2PCEgfwCVfG4IgclA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,0,2,7,5.458150107,1890,34.0
Chile,Chile,Data Scientist,COSMOS Save Energy,https://cl.linkedin.com/jobs/view/data-scientist-at-cosmos-save-energy-3306502106?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=cEvDbuwimVcKidt%2FZ8X57g%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,1,3,6,3.843080343,2621,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,MAS Analytics,https://cl.linkedin.com/jobs/view/data-scientist-at-mas-analytics-3319813637?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=%2BBiFU2mlIB0tKdbypcQTCQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,1,1,5,6.207862096,1829,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist.,Fuerza Laboral,https://cl.linkedin.com/jobs/view/data-scientist-at-fuerza-laboral-3319604968?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=iFq%2Frttt%2BeZTX24M62tPEw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,1,3,9,9.426592431,3170,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,BICE VIDA,https://cl.linkedin.com/jobs/view/data-scientist-at-bice-vida-3327782810?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=fV%2FJjeWx3E0gVZBp4QVHpQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,1,3,8,2.709726093,2987,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,BNamericas,https://cl.linkedin.com/jobs/view/data-scientist-at-bnamericas-3276485127?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=YNIN6iGhvMXAjfxA%2FL1bAA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,1,4,7,5.702733495,3109,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,Enel Chile,https://cl.linkedin.com/jobs/view/data-scientist-at-enel-chile-3324714136?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=j%2Fv1Wkea%2FdBwwnhlxxLEJA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,1,5,8,4.414906025,3596,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,Fusemachines,https://cl.linkedin.com/jobs/view/data-scientist-at-fusemachines-3313449173?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=1qNtVYP11KZSfcI3ydZKKA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,0,3,7,3.251408627,2195,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Science - Tutor(a),Desafío Latam,https://cl.linkedin.com/jobs/view/data-science-tutor-a-at-desaf%C3%ADo-latam-3236712255?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=XaUNGJOexxqI2udWRhp3rw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,0,3,8,6.437657095,2377,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,Falabella,https://cl.linkedin.com/jobs/view/data-scientist-at-falabella-3318081046?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=w39lmpb2Vuj99OE46ZqLhQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,0,1,5,4.418274672,1220,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Science - Docente,Desafío Latam,https://cl.linkedin.com/jobs/view/data-science-docente-at-desaf%C3%ADo-latam-3236713180?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=%2F50%2BLA3RNNOmay6AwaS8hQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,1,1,5,6.677891733,1829,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,Page Personnel,https://cl.linkedin.com/jobs/view/data-scientist-at-page-personnel-3173868387?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=6jT%2FVWzuTO6aNKpTTOvj3g%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,1,3,7,6.080628151,2804,34.0
Chile,"Las Condes, Santiago Metropolitan Region, Chile",Digital Data Scientist - Las Condes,United Latino Students Association,https://cl.linkedin.com/jobs/view/digital-data-scientist-las-condes-at-united-latino-students-association-3200957864?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=RVrxBul7C18UJWjFjKI2kw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,1,4,7,4.808007209,3109,34.0
Chile,"Las Condes, Santiago Metropolitan Region, Chile",Digital Data Scientist - Las Condes,United Latino Students Association,https://cl.linkedin.com/jobs/view/digital-data-scientist-las-condes-at-united-latino-students-association-3198026044?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=zkK9ngUD2wUF8reCESx8lA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,1,2,5,5.296644568,2134,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,PMA Design,https://cl.linkedin.com/jobs/view/data-scientist-at-pma-design-3300690142?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=uD26knXJRVYi4tq%2BMCK0Ug%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,0,1,5,6.622153958,1220,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,PMA Design,https://cl.linkedin.com/jobs/view/data-scientist-at-pma-design-3267952609?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=2F7f714nolFkYR4GOlTlSw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,1,4,11,5.336339143,3840,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,PMA Design,https://cl.linkedin.com/jobs/view/data-scientist-at-pma-design-3300688385?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=kM7kEYNfGwGMp6aLkFkyUA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,1,1,5,5.414833121,1829,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist Especialista,Valor Único,https://cl.linkedin.com/jobs/view/data-scientist-especialista-at-valor-%C3%BAnico-3319606872?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=ZiKoadj3nM8YQtGXXfxEwg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,1,1,4,4.444710501,1646,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Engineer Computer Vision / Machine Learning,Multiplica Talent,https://cl.linkedin.com/jobs/view/engineer-computer-vision-machine-learning-at-multiplica-talent-3314354410?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=M0ZJEIRBHhx3mXM%2BGUgbzg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,1,2,6,2.07632262,2317,34.0
Chile,"Las Condes, Santiago Metropolitan Region, Chile",Digital Data Scientist con experiencia en empresas de consumo masivo,United Latino Students Association,https://cl.linkedin.com/jobs/view/digital-data-scientist-con-experiencia-en-empresas-de-consumo-masivo-at-united-latino-students-association-3196168894?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=HfhyAx9ZOyZh7oota0VQzw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,1,2,7,3.32724776,2499,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Analista Datascience,MITS Group,https://cl.linkedin.com/jobs/view/analista-datascience-at-mits-group-3308504767?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=CqEGeIrIgvoqkPl6P5%2F8vA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,1,3,8,1.783707933,2987,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Desarrollador Python,Kabeli,https://cl.linkedin.com/jobs/view/desarrollador-python-at-kabeli-3324711545?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=pwYxmD1jqANCzd766wkqOQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,1,3,8,3.332566706,2987,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Machine Learning Engineer,Fusemachines,https://cl.linkedin.com/jobs/view/machine-learning-engineer-at-fusemachines-3313441690?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=DsGAtBpdikqj7QqC3CPofA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,1,4,7,5.505257632,3109,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Machine Learning Engineer,Fusemachines,https://cl.linkedin.com/jobs/view/machine-learning-engineer-at-fusemachines-3313439797?refId=QOHHQYHfRJen8Ka9FwIhIQ%3D%3D&trackingId=JgT5PUrmSSeyWMSuyKkXrQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,1,2,7,3.847118571,2499,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,Banco de Chile,https://cl.linkedin.com/jobs/view/data-scientist-at-banco-de-chile-3321039487?refId=dX%2BgC7ODhEyJawlRHOt76A%3D%3D&trackingId=t98pchQnCbZJ9Afsb9QIow%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,1,4,7,5.698757727,3109,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,BNamericas,https://cl.linkedin.com/jobs/view/data-scientist-at-bnamericas-3276485127?refId=dX%2BgC7ODhEyJawlRHOt76A%3D%3D&trackingId=H%2B%2FXKP90dQ8q8aRF6OWnpA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,1,4,8,5.388529831,3291,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist.,Fuerza Laboral,https://cl.linkedin.com/jobs/view/data-scientist-at-fuerza-laboral-3319604968?refId=dX%2BgC7ODhEyJawlRHOt76A%3D%3D&trackingId=Ny8vjwE7MPxtYW5o%2BU3SSw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,1,4,9,3.758630762,3474,34.0
Chile,"Rancagua, O'Higgins Region, Chile",Data Scientist,Agrosuper,https://cl.linkedin.com/jobs/view/data-scientist-at-agrosuper-3324715110?refId=dX%2BgC7ODhEyJawlRHOt76A%3D%3D&trackingId=JqOfvOcoC22DVwdEMpTMpw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,0,3,7,8.047136438,2195,34.0
Chile,"Santiago Metropolitan Region, Chile",Data Scientist,Apiux Tecnología,https://cl.linkedin.com/jobs/view/data-scientist-at-apiux-tecnolog%C3%ADa-3215278371?refId=dX%2BgC7ODhEyJawlRHOt76A%3D%3D&trackingId=Brka1PQF4O06rcGb72VL4Q%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,0,2,8,2.788022976,2073,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,BICE VIDA,https://cl.linkedin.com/jobs/view/data-scientist-at-bice-vida-3327782810?refId=dX%2BgC7ODhEyJawlRHOt76A%3D%3D&trackingId=sWaihPOb%2FnCabozmXA6xaA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,1,4,10,1.324913894,3657,34.0
Chile,Chile,Data Scientist,COSMOS Save Energy,https://cl.linkedin.com/jobs/view/data-scientist-at-cosmos-save-energy-3306502106?refId=dX%2BgC7ODhEyJawlRHOt76A%3D%3D&trackingId=xFIvNJ57qPi%2F%2FFne3z2iIw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,1,5,8,4.979965706,3596,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist Full time,BICE VIDA,https://cl.linkedin.com/jobs/view/data-scientist-full-time-at-bice-vida-3280000315?refId=dX%2BgC7ODhEyJawlRHOt76A%3D%3D&trackingId=eor10Uu%2F1ZNOIZesXZMM8A%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,0,4,7,1.486204463,2499,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,Fusemachines,https://cl.linkedin.com/jobs/view/data-scientist-at-fusemachines-3313449173?refId=dX%2BgC7ODhEyJawlRHOt76A%3D%3D&trackingId=amBMvTxLLSYiEYtdWIp4KQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,0,3,8,6.976284289,2378,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Machine Learning Engineer Junior,EY,https://cl.linkedin.com/jobs/view/machine-learning-engineer-junior-at-ey-3286952430?refId=dX%2BgC7ODhEyJawlRHOt76A%3D%3D&trackingId=sCvKi2u6MIW5zPWjLqetjw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,1,3,8,4.927794647,2987,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,Falabella,https://cl.linkedin.com/jobs/view/data-scientist-at-falabella-3318081046?refId=dX%2BgC7ODhEyJawlRHOt76A%3D%3D&trackingId=u5oxgL6KFdf0qOlLW7pN%2BA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,1,2,8,5.370032028,2682,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Science,Itaú Chile,https://cl.linkedin.com/jobs/view/data-science-at-ita%C3%BA-chile-3182691802?refId=dX%2BgC7ODhEyJawlRHOt76A%3D%3D&trackingId=wUyw8O%2BPtHOjAqhLbdfb%2FQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,0,3,6,3.246979342,2012,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Machine Learning Engineer,Fusemachines,https://cl.linkedin.com/jobs/view/machine-learning-engineer-at-fusemachines-3313441690?refId=dX%2BgC7ODhEyJawlRHOt76A%3D%3D&trackingId=0tVkOFjZUGukUdXRFLh1nw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,1,1,4,2.723398524,1646,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Machine Learning Engineer,Fusemachines,https://cl.linkedin.com/jobs/view/machine-learning-engineer-at-fusemachines-3313439797?refId=dX%2BgC7ODhEyJawlRHOt76A%3D%3D&trackingId=NZQ2OVsD3%2FKrWt8qAAf0dA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,0,1,3,6.322520833,854,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Engineer Computer Vision / Machine Learning,Multiplica Talent,https://cl.linkedin.com/jobs/view/engineer-computer-vision-machine-learning-at-multiplica-talent-3314354410?refId=dX%2BgC7ODhEyJawlRHOt76A%3D%3D&trackingId=udf8iQQdcvdsm9Keu8b29g%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,0,2,7,3.081176098,1890,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,MAS Analytics,https://cl.linkedin.com/jobs/view/data-scientist-at-mas-analytics-3319813637?refId=dX%2BgC7ODhEyJawlRHOt76A%3D%3D&trackingId=r%2Bd61kYPknGba1xkPQc4ZQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,1,2,7,3.947712983,2499,34.0
Chile,"Las Condes, Santiago Metropolitan Region, Chile",Data Scientist - Santiago,Teck Resources Limited,https://cl.linkedin.com/jobs/view/data-scientist-santiago-at-teck-resources-limited-3033739128?refId=dX%2BgC7ODhEyJawlRHOt76A%3D%3D&trackingId=xxrJOiOaEQFqjNeKrjkbkQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,0,4,8,4.371998455,2682,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,PMA Design,https://cl.linkedin.com/jobs/view/data-scientist-at-pma-design-3300690142?refId=dX%2BgC7ODhEyJawlRHOt76A%3D%3D&trackingId=ZukGl%2B%2FqudrXDLgTQBsgZw%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,1,2,6,3.766544855,2317,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,EY,https://cl.linkedin.com/jobs/view/data-scientist-at-ey-3177562809?refId=dX%2BgC7ODhEyJawlRHOt76A%3D%3D&trackingId=xrok3QM3mH3sKnEfeyuVlg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,0,1,4,6.418833038,1037,34.0
